id,name,state_before,date_order,amount_total,n_lines
1724,S01724,draft,2024-02-15 02:06:56,24000.0,1
1725,S01725,draft,2024-02-15 02:20:58,9000.0,1
1726,S01726,draft,2024-02-15 13:56:35,0.0,0
1730,S01730,draft,2024-02-15 20:18:39,62000.0,2
1739,S01739,draft,2024-02-18 10:03:24,7500.0,1
1740,S01740,draft,2024-02-18 15:35:38,0.0,0
1742,S01742,draft,2024-02-19 15:00:15,3000.0,1
1751,S01751,draft,2024-02-19 21:54:54,8900.0,1
1753,S01753,draft,2024-02-20 13:32:04,0.0,0
1759,S01759,draft,2024-02-20 22:22:50,0.0,0
1761,S01761,draft,2024-02-20 22:34:33,1600.0,1
1768,S01768,draft,2024-02-21 18:02:51,9500.0,1
1772,S01772,draft,2024-02-21 21:42:25,12000.0,1
1773,S01773,draft,2024-02-22 09:28:36,22000.0,1
1789,S01789,draft,2024-02-24 06:51:21,57900.0,4
1790,S01790,draft,2024-02-24 19:49:39,0.0,0
1791,S01791,draft,2024-02-25 16:10:17,20000.0,1
1792,S01792,draft,2024-02-25 17:07:40,34300.0,5
1793,S01793,draft,2024-02-26 19:10:23,12000.0,1
1798,S01798,draft,2024-02-27 18:41:59,0.0,0
1801,S01801,draft,2024-02-28 01:03:50,98600.0,7
1802,S01802,draft,2024-02-28 01:14:30,2280.0,1
1818,S01818,draft,2024-02-29 21:18:50,5000.0,1
1821,S01821,draft,2024-03-01 16:11:27,4000.0,1
1827,S01827,draft,2024-03-02 03:32:04,4000.0,1
1833,S01833,draft,2024-03-03 05:09:44,10000.0,1
1834,S01834,draft,2024-03-03 21:28:01,0.0,0
1844,S01844,draft,2024-03-04 20:56:08,27000.0,2
1845,S01845,draft,2024-03-05 12:48:31,9500.0,1
1849,S01849,draft,2024-03-05 19:07:01,31000.0,3
1853,S01853,draft,2024-03-06 00:32:36,5100.0,2
